,Error
0,599.4584479339812
1,599.4584479339812
2,599.4584479339812
3,599.4584479339812
4,559.934172314358
5,559.934172314358
6,559.934172314358
7,559.934172314358
8,539.9890604903529
9,539.9890604903529
10,539.9890604903529
11,539.9890604903529
12,420.00878270972566
13,420.00878270972566
14,420.00878270972566
15,420.00878270972566
16,276.2116479609713
17,276.2116479609713
18,276.2116479609713
19,276.2116479609713
20,163.65659537910872
21,163.65659537910872
22,163.65659537910872
23,163.65659537910872
24,198.87551713340616
25,198.87551713340616
26,198.87551713340616
27,198.87551713340616
28,285.3576281942928
29,285.3576281942928
30,285.3576281942928
31,285.3576281942928
32,353.2909469291042
33,353.2909469291042
34,353.2909469291042
35,353.2909469291042
36,356.49418115363136
37,356.49418115363136
38,356.49418115363136
39,356.49418115363136
40,386.6388521834542
41,386.6388521834542
42,386.6388521834542
43,386.6388521834542
44,394.07111225198935
45,394.07111225198935
46,394.07111225198935
47,394.07111225198935
48,427.0450960888064
49,427.0450960888064
50,427.0450960888064
51,427.0450960888064
52,474.3954627807216
53,474.3954627807216
54,474.3954627807216
55,474.3954627807216
56,399.4315207963795
57,399.4315207963795
58,399.4315207963795
59,399.4315207963795
60,187.98000329282448
61,187.98000329282448
62,187.98000329282448
63,187.98000329282448
64,115.55421705408627
65,115.55421705408627
66,115.55421705408627
67,115.55421705408627
68,77.11463947140429
69,77.11463947140429
70,77.11463947140429
71,77.11463947140429
72,103.90451494012031
73,103.90451494012031
74,103.90451494012031
75,103.90451494012031
76,142.47247435447582
77,142.47247435447582
78,142.47247435447582
79,142.47247435447582
80,204.19752701268516
81,204.19752701268516
82,204.19752701268516
83,204.19752701268516
84,294.56674085377387
85,294.56674085377387
86,294.56674085377387
87,294.56674085377387
88,302.96042415985823
89,302.96042415985823
90,302.96042415985823
91,302.96042415985823
92,296.4951134116624
93,296.4951134116624
94,296.4951134116624
95,296.4951134116624
96,258.2488665629303
97,258.2488665629303
98,258.2488665629303
99,258.2488665629303
100,224.418512204354
101,224.418512204354
102,224.418512204354
103,224.418512204354
104,228.0641917744628
105,228.0641917744628
106,228.0641917744628
107,228.0641917744628
108,242.399209930154
109,242.399209930154
110,242.399209930154
111,242.399209930154
112,276.8426035663323
113,276.8426035663323
114,276.8426035663323
115,276.8426035663323
116,267.9972587518534
117,267.9972587518534
118,267.9972587518534
119,267.9972587518534
120,324.2036913659006
121,324.2036913659006
122,324.2036913659006
123,324.2036913659006
124,360.6747875658545
125,360.6747875658545
126,360.6747875658545
127,360.6747875658545
128,336.2363914178245
129,336.2363914178245
130,336.2363914178245
131,336.2363914178245
132,323.9998542218829
133,323.9998542218829
134,323.9998542218829
135,323.9998542218829
136,301.5791181010158
137,301.5791181010158
138,301.5791181010158
139,301.5791181010158
140,284.2699755680162
141,284.2699755680162
142,284.2699755680162
143,284.2699755680162
144,264.15190650741306
145,264.15190650741306
146,264.15190650741306
147,264.15190650741306
148,268.0182413865727
149,268.0182413865727
150,268.0182413865727
151,268.0182413865727
152,263.6533706022758
153,263.6533706022758
154,263.6533706022758
155,263.6533706022758
156,280.2163725797512
157,280.2163725797512
158,280.2163725797512
159,280.2163725797512
160,273.626686802816
161,273.626686802816
162,273.626686802816
163,273.626686802816
164,278.03901831943233
165,278.03901831943233
166,278.03901831943233
167,278.03901831943233
168,280.8066842034816
169,280.8066842034816
170,280.8066842034816
171,280.8066842034816
172,281.8143387871852
173,281.8143387871852
174,281.8143387871852
175,281.8143387871852
176,275.4441889657087
177,275.4441889657087
178,275.4441889657087
179,275.4441889657087
